feature,N_mean,C_mean,p_value,N_n,C_n
seq_len,215.4375,219.63888888888889,0.9387829786520087,48,108
mw_kda,24.26533333333333,24.570111111111114,0.946425308855308,48,108
hydro,-0.33049747086764336,-0.31031990237503393,0.3761171092263518,48,108
net_charge,-1.0833333333333333,-4.351851851851852,0.16290993251601082,48,108
disorder,0.4162566804628491,0.4005064644190584,0.037417582880213046,48,108
pI_approx,6.458333333333333,4.824074074074074,0.16290993251601082,48,108
n_charge20,0.041666666666666664,0.018518518518518517,0.6783464414256979,48,108
c_charge20,-0.4791666666666667,-0.21296296296296297,0.451919188845493,48,108
