group,n,median_len_cutoff,mcc,bacc,p_perm,z
full,156,,0.16765598754029182,0.5833333333333334,,
short,78,194.5,0.026032364993943208,0.5122529644268775,,
long,78,194.5,0.33908713924387723,0.6656603773584906,0.005,2.50179788455782
