group,n,len_min,len_max,mcc,bacc
bottom_25pct,39,59,134,-0.1259881576697424,0.4375
top_25pct,39,292,622,0.3333333333333333,0.6666666666666666
bottom_33pct,51,59,145,-0.1111111111111111,0.4444444444444444
top_33pct,51,267,622,0.4365641250653994,0.7142857142857143
