window,n,n_C,n_N,mcc,bacc
Short (50-150),54,38,16,0.014053179478717433,0.506578947368421
Moderate (150-250),44,29,15,0.2055270768301462,0.596551724137931
Long (250-350),42,27,15,0.029235267310234306,0.5148148148148148
Very long (>350),16,14,2,-0.09759000729485333,0.4642857142857143
