bin,n,len_range,mcc,bacc
Q1,40,59-134,0.11197850219117086,0.5501567398119123
Q2,38,139-194,-0.21794871794871795,0.391025641025641
Q3,40,195-292,0.3546040716334876,0.6547619047619048
Q4,38,294-622,0.12017278061240777,0.5538461538461539
